,product
0,"['海的 - 酸菜鱸魚(急凍18℃)#加州無骨鱸魚片#快煮5分鐘#2-3人份#金湯醬包#低脂美食', '$ 79.00']"
1,"['大街市 - 紐西蘭 Hoki 鱈魚柳 (MSC 可持續海產品)(急凍-18°C)#海鮮#氣炸', '$ 39.90']"
2,"['foodies - 格靈蘭比目魚扒(急凍-18°C)#海鮮#煎焗#蒸', '$ 42.90']"
3,"['寶達 - 黃立倉 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 30.08']"
4,"['海產佬市集 - 黃花魚 (急凍-18°C)', '$ 24.80']"
5,"['MyFridge - 挪威高級野生比目魚塊 100%天然 約450 - 480g #無添加#無防腐劑', '$ 60.00']"
6,"['寶達 - 盲鰽魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 38.00']"
7,"['渡邊水產 - 野生石班魚柳(急凍-18°C)#海鮮#氣炸#煎焗', '$ 44.90']"
8,"['大街市 - 越南鯰魚柳 ASC (急凍-18°C)#海鮮#氣炸#煎焗', '$ 37.90']"
9,"['大街市 - 智利三文魚扒(急凍-18°C)#海鮮#鐵板#煎焗', '$ 59.90']"
10,"['Phoebus Selection - 挪威三文魚柳 (急凍-18°C)', '$ 40.00']"
11,"['Phoebus Selection - 挪威三文魚柳 (連皮) (急凍-18°C)#海鮮#氣炸#香煎', '$ 99.90']"
12,"['大街市 - 石班魚柳 (急凍-18°C)#海鮮#氣炸', '$ 39.90']"
13,"['大街市 - 格靈蘭比目魚 (3-4塊) (急凍-18°C)#海鮮#鐵板', '$ 67.90']"
14,"['為食熊 - 【炭火直烤】江戶前原條炭火蒲燒鰻魚1條 (125g±15g/條) (急凍-18°C) #氣炸 #鰻魚丼 #即食 #燒物 #日式串燒 #刺身 #魚生 #魚柳 #海鮮 #日本料理 #焗叮蒸氣炸微波爐', '$ 47.90']"
15,"['海產佬市集 - 急凍印尼海捕芝麻斑魚柳 350g (急凍-18°C)', '$ 64.80']"
16,"['大街市 - 美國阿拉斯加銀鱈魚扒 (急凍)', '$ 99.90']"
17,"['寶達 - 多寶魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 65.32']"
18,"['PrimeFood - 越南特級鯰魚柳 (急凍:存放-18℃)#海鮮#蒸#煎#焗#煮#烤', '$ 20.00']"
19,"['四寶食品 - 挪威優質比目魚扒-400G(急凍) #海鮮#氣炸#煎# 炒', '$ 76.00']"
20,"['意記 - 加拿大多春魚(8條)(170g) (急凍-18°C)', '$ 28.00']"
21,"['寶豐食品 - 挪威優質比目魚扒-400G(急凍) #海鮮#氣炸#煎# 炒', '$ 76.00']"
22,"['LALA Food - 挪威優質比目魚扒-400G(急凍) #海鮮#氣炸#煎# 炒', '$ 76.00']"
23,"['四寶食品 - 智利優質三文魚扒-400G(急凍) #海鮮#氣炸#煎#炒', '$ 83.00']"
24,"['同聯急涷食品 - 挪威優質三文魚扒-400G(急凍) #海鮮#氣炸#煎#炒', '$ 83.00']"
25,"['LALA Food - 智利優質三文魚扒-400G(急凍) #海鮮#氣炸#煎#炒', '$ 83.00']"
26,"['同聯急涷食品 - 挪威優質比目魚扒-400G(急凍) #海鮮#氣炸#煎# 炒', '$ 76.00']"
27,"['寶豐食品 - 智利優質三文魚扒-400G(急凍) #海鮮#氣炸#煎#炒', '$ 83.00']"
28,"['Feldts - 挪威無皮特級三文魚柳 125克 4件裝 (急凍-18°C) (最佳食用限期: 2023年9月16日)', '$ 139.00']"
29,"['PrimeFood - 智利三文魚扒 (急凍:存放-18℃)#海鮮#鐵板#煎#焗', '$ 55.90']"
30,"['PrimeFood - 挪威 HOFSETH 帶皮三文魚柳 (急凍:存放-18℃)#海鮮#氣炸#煎#焗', '$ 105.50']"
31,"['PrimeFood - 北大西洋比目魚扒 [此日期前最佳: 2023年4月18日] (急凍:存放-18℃)#海鮮#煎#焗', '$ 22.50']"
32,"['尚上品 - 優質美國天然野生有皮紅三文魚柳 (320克/包) (急凍)', '$ 89.80']"
33,"['漁鮮快遞  - 鯖魚柳1邊 (100g)(急凍)', '$ 13.00']"
34,"['漁鮮快遞  - 半條三文魚(刺身或魚柳)(急凍)', '$ 698.00']"
35,"['漁鮮快遞  - 加拿大多春魚 (100g)(急凍)', '$ 26.00']"
36,"['LEADER MARINE - 抗疫至抵海陸套餐A - 急凍豬扒配鯖魚', '$ 93.00']"
37,"['Grants - 蘇格蘭Grants T 古法繩掛煙三文魚切片 100g (急凍-18°C) (5060270511991)', '$ 95.00']"
38,"['漁鮮快遞 - 挪威三文魚魚皮80g up-帶鱗(急凍)', '$ 8.80']"
39,"['尚上品 - 1級！美國銀鱈魚扒/銀雪魚扒 (250-300克) (急凍) #A級 #野生 #海鮮 #香煎 #焗 #西京燒 #煙薰 #照燒 #健康', '$ 162.00']"
40,"['Leroy - 急凍挪威三文魚柳500g', '$ 138.00']"
41,"['PrimeFood - 挪威 HOFSETH 去皮鱈魚柳 (急凍:存放-18℃)#海鮮#氣炸#煎#焗', '$ 109.90']"
42,"['寶達 - 西班牙吞拿魚扒 125g', '$ 38.00']"
43,"['Hong Kong - Phoebus Selection 急凍挪威三文魚柳(帶皮) (2條裝) 240g', '$ 62.00']"
44,"['漁鮮快遞 - 急凍三文魚腩條(500g)(急凍)', '$ 58.00']"
45,"['PrimeFood - 智利 Nova Marine 帶皮三文魚柳 (急凍:存放-18℃)#海鮮#氣炸#煎#焗', '$ 77.00']"
46,"['PrimeFood - 智利 煙三文魚(香草味) (急凍:存放-18℃)', '$ 52.50']"
47,"['寶達 - 加拿大多春魚 10條 (急凍)', '$ 29.20']"
48,"['寶達 - 西班牙吞拿魚日式TATAKI 185g', '$ 60.00']"
49,"['漁鮮快遞  - 挪威優質三文魚柳1塊 (250g)(急凍)', '$ 98.00']"
50,"['Feldts - 瑞典急凍無骨鱈魚塊400克 (急凍-18°C) (最佳食用限期: 2023年8月30日)', '$ 88.80']"
51,"['PrimeFood - 西班牙 Ferrer 熟章魚片 [此日期前最佳: 2023年4月30日] (急凍:存放-18℃)', '$ 35.00']"
52,"['PrimeFood - 西班牙 Ferrer 鱈魚柳 (急凍:存放-18℃)#海鮮#氣炸#煎#焗', '$ 62.90']"
53,"['尚品 - 挪威三文魚柳(急凍)(300克)(急凍-18度)', '$ 78.00']"
54,"['FoodWise - 大西洋三文魚扒320g', '$ 69.90']"
55,"['寶達 - 西班牙爆谷吞拿魚粒 200g', '$ 48.00']"
56,"['PrimeFood - 西班牙 Ferrer 優質三文魚柳 (急凍:存放-18℃)#海鮮#氣炸#煎#焗', '$ 80.50']"
57,"['PrimeFood - 冰島 多春魚 (急凍:存放-18℃)#海鮮', '$ 33.50']"
58,"['PrimeFood - 美國 Nova Marine 天然野生銀鱈魚扒 (急凍:存放-18℃)#海鮮#鐵板#氣炸#煎#焗', '$ 110.00']"
59,"['漁鮮快遞  - ((2包裝)) 鯖魚柳1邊 (100g)(急凍)', '$ 25.00']"
60,"['漁鮮快遞  - 西班牙鱈魚柳(有皮)270g', '$ 98.00']"
61,"['Iceland - 冰島格凌蘭 有皮去骨比目魚柳 3片裝', '$ 76.00']"
62,"['漁鮮快遞 - ((4包裝)) 挪威三文魚魚皮-帶鱗(急凍)', '$ 40.00']"
63,"['FoodWise - 大西洋鯖魚柳 140g', '$ 21.90']"
64,"['四寶食品 - 挪威海產福袋 - 挪威優質三文魚扒-400G + 挪威優質比目魚扒-400G (急凍-18度) #海鮮#氣炸#煎#炒', '$ 139.00']"
65,"['零食大王 - 格靈蘭比目魚扒 約454g (急凍-18°C) (4897010670233)#海鮮#氣炸#煎焗', '$ 66.90']"
66,"['零食大王 - 加拿大野生黃尾鰈魚柳 約400G (急凍-18°C)(4897010672695) #海鮮', '$ 60.00']"
67,"['零食大王 - 加拿大多春魚 約280g (急凍-18°C)(4897010674613) #海鮮 #燒烤', '$ 35.90']"
68,"['寶達 - 西班牙吞拿魚漢堡 2塊 170g', '$ 40.00']"
69,"['尚品 - 加拿大比目魚扒(360克)(急凍-18℃) #肉質嫩滑 #香煎可口 #海鮮 #煎焗', '$ 78.00']"
70,"['漁鮮快遞 - 急凍三文魚柳250g(2件裝)(急凍)', '$ 80.00']"
71,"['FoodWise - 美國 急凍銀鱈魚扒 200Gram', '$ 118.00']"
72,"['尚品 - 挪威三文魚柳切件(4塊)(480克)(急凍-18℃) #海鮮 #氣炸 #香煎 #方便易煮', '$ 118.00']"
73,"['尚品 - 美國銀雪魚扒(300克)(急凍-18℃) #海鮮 #鐵板 #氣炸 #煎焗 #香煎 #煎焗', '$ 128.00']"
74,"['零食大王 - Isfjord - 挪威三文魚柳 4片(120g x 4) (急凍-18°C) (4897010673197)#海鮮#氣炸#煎焗', '$ 129.00']"
